preco;quartos;banheiros;vagas garagem;rua/avenida;custo condominio;iptu;bairro;cidade;estado;cep;armários na cozinha;academia;piscina;varanda;portaria;quarto de serviço;área de serviço;condomínio fechado;permitido animais;churrasqueira;elevador;mobiliado;armários no quarto;ar condicionado;segurança 24h;salão de festas;area util por m²
6000000.0;2;2;1;Avenida Lomanto Júnior;0.0;-1;Pontal;Ilhéus;BA;45654000;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;99.0
5000000.0;2;2;1;Avenida Doutor Arnoldo Neves;357.0;1400.0;Nossa Senhora da Vitória;Ilhéus;BA;45655510;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;95.0
7000000.0;2;2;1;Avenida Nelson Carvalho Moreira;420.0;0.0;Pontal;Ilhéus;BA;45654250;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;83.0
2800000.0;1;1;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;45.0
19000000.0;2;2;2;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;134.0
3893300.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;59.0
3870000.0;2;2;1;Avenida Lomanto Júnior;-1;-1;Pontal;Ilhéus;BA;45654000;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;58.0
6420000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;64.0
7650000.0;2;3;2;Rua Muniz Sodré;550.0;1800.0;São Sebastião;Ilhéus;BA;45653802;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;114.0
9000000.0;2;2;1;Rua dos Canários;800.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;70.0
5500000.0;2;1;1;Avenida Lomanto Júnior;590.0;0.0;Pontal;Ilhéus;BA;45654000;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;70.0
2950000.0;1;1;0;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;32.0
7500000.0;2;2;1;Rua Pelicano;480.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655716;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;87.0
3789300.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;58.0
4600000.0;3;2;0;Avenida José Luís da Fonseca;0.0;0.0;Jardim Savóia;Ilhéus;BA;45658260;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;85.0
3500000.0;3;2;1;Rua Esmeraldo de Sá Vieira;0.0;0.0;Conquista;Ilhéus;BA;45650330;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170.0
9000000.0;3;2;2;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;155.0
3500000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;80.0
5000000.0;3;3;2;Rua Demosthenes Berbert de Castro;0.0;0.0;Pontal;Ilhéus;BA;45654170;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;78.0
4200000.0;2;2;1;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;67.0
8750000.0;3;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;82.0
3800000.0;3;3;1;Avenida Nossa Senhora Aparecida;0.0;0.0;São Francisco;Ilhéus;BA;45655100;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;113.0
5500000.0;2;2;2;Rua dos Tangarás;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655752;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;78.0
8000000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;126.0
4300000.0;3;2;0;Rua Sete de Setembro;0.0;0.0;Centro;Ilhéus;BA;45653555;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;242.0
4608500.0;3;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;70.0
4600000.0;2;2;1;Rua Jiquiriçá;0.0;0.0;São Francisco;Ilhéus;BA;45655114;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;72.0
9970000.0;2;2;1;Rua dos Canários;800.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;70.0
8600000.0;3;4;2;Rua Irecê Moura Darwich;550.0;1925.0;São Francisco;Ilhéus;BA;45655134;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;142.0
4750000.0;2;3;1;Olivença;0.0;0.0;Olivença;Ilhéus;BA;45660386;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;83.0
8000000.0;2;2;1;Rua Pelicano;500.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655716;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;187.0
3000000.0;2;2;1;Avenida Nossa Senhora Aparecida;3.0;427.0;São Francisco;Ilhéus;BA;45655100;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;58.0
4105500.0;2;2;1;Avenida Osvaldo Cruz;0.0;0.0;Boa Vista;Ilhéus;BA;45652570;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;67.0
5110000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;58.0
4600000.0;2;2;1;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;62.0
1990000.0;1;1;1;Avenida Tancredo Neves;550.0;0.0;São Francisco;Ilhéus;BA;45655120;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;28.0
4600000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;75.0
4800000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;86.0
