cep,latitude,longitude
45651644,-14.81121,-39.02481
45652010,-14.78525,-39.03566
45652466,-14.79261,-39.0332
45652900,-14.79186,-39.03313
45654180,-14.81458,-39.02806
45654256,-14.8130655,-39.0350468
45654555,-14.84023,-39.03568
45654900,-14.81056,-39.03426
45655114,-14.83761,-39.03443
45655258,-14.83755,-39.03551
45655506,-14.82419,-39.02969
45655820,-14.8425,-39.03625
45655901,-14.8168568,-39.0254291
45658722,-14.78834,-39.05925
45659323,-14.5951,-39.0549
45660386,-14.9943,-38.99916
45660388,-14.944,-39.0113
45660512,-14.94502,-39.01201
45650125,-14.796798,-39.0376954
45650192,-14.7946484,-39.0419288
45650330,-14.7932037,-39.040627
45650420,-14.7951657,-39.0420928
45651520,-14.7874036,-39.0500724
45651610,-14.7832664,-39.0442707
45651644,-14.81121,-39.02481
45651644,-14.81121,-39.02481
45651644,-14.81121,-39.02481
45651644,-14.81121,-39.02481
45651644,-14.81121,-39.02481
45652010,-14.78525,-39.03566
45652010,-14.78525,-39.03566
45652010,-14.78525,-39.03566
45652010,-14.78525,-39.03566
45652010,-14.78525,-39.03566
45652020,-14.7849388,-39.0354429
45652050,-14.789719,-39.0332423
45652065,-14.7912901,-39.0321575
45652120,-14.7910945,-39.0331348
45652130,-14.788433,-39.0342002
45652140,-14.7897648,-39.0339823
45652160,-14.7849672,-39.033912
45652180,-14.7853553,-39.0347636
45652414,-14.7941544,-39.0381364
45652420,-14.7953342,-39.0389983
45652466,-14.79261,-39.0332
45652466,-14.79261,-39.0332
45652466,-14.79261,-39.0332
45652466,-14.79261,-39.0332
45652466,-14.79261,-39.0332
45652495,-14.7877297,-39.0358987
45652505,-14.8109165,-39.0393116
45652515,-14.7896114,-39.0348706
45652530,-14.837664,-39.0400575
45652540,-14.7899964,-39.03792079999999
45652560,-14.8116709,-39.03973879999999
45652570,-14.788433,-39.0342002
45652900,-14.79186,-39.03313
45652900,-14.79186,-39.03313
45652900,-14.79186,-39.03313
45652900,-14.79186,-39.03313
45652900,-14.79186,-39.03313
45653005,-14.7958929,-39.032076
45653020,-14.7993665,-39.0359202
45653120,-14.7985928,-39.0342283
45653250,-14.7969117,-39.033105
45653330,-14.7978147,-39.0326194
45653555,-14.796432,-39.0380211
45653600,-14.7978503,-39.0376546
45653758,-14.8024326,-39.0333313
45653790,-14.801882,-39.0318317
45653802,-14.8018168,-39.0321575
45654000,-14.805925,-39.03679959999999
45654001,-14.8117429,-39.0321575
45654030,-14.8087632,-39.0380211
45654090,-14.8141628,-39.0328303
45654170,-14.8076907,-39.0373696
45654175,-14.8076253,-39.0371386
45654180,-14.81458,-39.02806
45654180,-14.81458,-39.02806
45654180,-14.81458,-39.02806
45654180,-14.81458,-39.02806
45654180,-14.81458,-39.02806
45654250,-14.8091274,-39.02595240000001
45654254,-14.8103062,-39.0374511
45654256,-14.8130655,-39.0350468
45654256,-14.8130655,-39.0350468
45654256,-14.8130655,-39.0350468
45654256,-14.8130655,-39.0350468
45654256,-14.8130655,-39.0350468
45654272,-14.8073087,-39.0382968
45654440,-14.8118839,-39.0272589
45654480,-14.81174,-39.0246643
45654510,-14.8136216,-39.0249301
45654520,-14.8125454,-39.0250178
45654530,-14.8098178,-39.0251031
45654555,-14.84023,-39.03568
45654555,-14.84023,-39.03568
45654555,-14.84023,-39.03568
45654555,-14.84023,-39.03568
45654555,-14.84023,-39.03568
45654900,-14.81056,-39.03426
45654900,-14.81056,-39.03426
45654900,-14.81056,-39.03426
45654900,-14.81056,-39.03426
45654900,-14.81056,-39.03426
45655000,-14.8403975,-39.0257076
45655040,-14.8308421,-39.0263163
45655044,-14.8322621,-39.0268329
45655046,-14.8316042,-39.0258359
45655048,-14.8330061,-39.0264975
45655062,-14.830778,-39.02676599999999
45655076,-14.8180666,-39.0278983
45655080,-14.8225253,-39.0275151
45655090,-14.8206756,-39.0276544
45655092,-14.8207138,-39.0279223
45655096,-14.8205436,-39.0272707
45655100,-14.8348482,-39.032076
45655108,-14.8240691,-39.0288182
45655112,-14.8255024,-39.02722809999999
45655114,-14.83761,-39.03443
45655114,-14.83761,-39.03443
45655114,-14.83761,-39.03443
45655114,-14.83761,-39.03443
45655114,-14.83761,-39.03443
45655116,-14.8266225,-39.0277956
45655120,-14.8403975,-39.0257076
45655134,-14.8313622,-39.0284323
45655138,-14.8329816,-39.0279732
45655140,-14.8341963,-39.0283807
45655142,-14.8341614,-39.0289279
45655145,-14.8364846,-39.02892
